old_name,new_name
ZGto2NuG-1Jets_PTG-200to400TuneCP5_13p6TeV_amcatnloFXFX-pythia8,ZGto2NuG-1Jets_Bin-PTG-200to400_TuneCP5_13p6TeV_amcatnloFXFX-pythia8
ZGto2NuG-1Jets_PTG-400to600TuneCP5_13p6TeV_amcatnloFXFX-pythia8,ZGto2NuG-1Jets_Bin-PTG-400to600_TuneCP5_13p6TeV_amcatnloFXFX-pythia8
ZGto2NuG-1Jets_PTG-600TuneCP5_13p6TeV_amcatnloFXFX-pythia8,ZGto2NuG-1Jets_Bin-PTG-600_TuneCP5_13p6TeV_amcatnloFXFX-pythia8
blank,blank
ZGto2QG-1Jets_PTG-100to200TuneCP5_13p6TeV_amcatnloFXFX-pythia8,ZGto2QG-1Jets_Bin-PTG-100to200_TuneCP5_13p6TeV_amcatnloFXFX-pythia8
ZGto2QG-1Jets_PTG-200TuneCP5_13p6TeV_amcatnloFXFX-pythia8,ZGto2QG-1Jets_Bin-PTG-200_TuneCP5_13p6TeV_amcatnloFXFX-pythia8
W,blank
WtoLNu-4Jets_TuneCP5_13p6TeV_madgraphMLM-pythia8,WtoLNu-4Jets_TuneCP5_13p6TeV_madgraphMLM-pythia8
WtoLNu-4Jets_0J_TuneCP5_13p6TeV_madgraphMLM-pythia8,WtoLNu-4Jets_Bin-0J_TuneCP5_13p6TeV_madgraphMLM-pythia8
WtoLNu-4Jets_1J_TuneCP5_13p6TeV_madgraphMLM-pythia8,WtoLNu-4Jets_Bin-1J_TuneCP5_13p6TeV_madgraphMLM-pythia8
WtoLNu-4Jets_2J_TuneCP5_13p6TeV_madgraphMLM-pythia8,WtoLNu-4Jets_Bin-2J_TuneCP5_13p6TeV_madgraphMLM-pythia8
WtoLNu-4Jets_3J_TuneCP5_13p6TeV_madgraphMLM-pythia8,WtoLNu-4Jets_Bin-3J_TuneCP5_13p6TeV_madgraphMLM-pythia8
WtoLNu-4Jets_4J_TuneCP5_13p6TeV_madgraphMLM-pythia8,WtoLNu-4Jets_Bin-4J_TuneCP5_13p6TeV_madgraphMLM-pythia8
